"id"	"repeater"	"n_subject"	"group"	"nationality"	"n_test"	"note"	"y"
108	"No"	5	"Morning"	"Spanish"	7	2.9	32
109	"No"	5	"Morning"	"Spanish"	3	5	5
110	"No"	3	"Afternoon"	"Spanish"	12	5.9	55
111	"No"	5	"Morning"	"Spanish"	12	8.4	43
112	"No"	4	"Morning"	"Spanish"	12	7.2	43
113	"No"	4	"Afternoon"	"Foreign"	12	5	109
114	"No"	5	"Morning"	"Spanish"	12	6.6	14
115	"No"	5	"Morning"	"Spanish"	11	6	5
116	"No"	5	"Morning"	"Spanish"	12	6.3	33
117	"No"	3	"Afternoon"	"Spanish"	11	6.5	37
118	"No"	5	"Morning"	"Spanish"	5	6.1	13
119	"Yes"	5	"Morning"	"Foreign"	6	5.4	0
120	"No"	5	"Morning"	"Spanish"	12	8.2	45
121	"No"	5	"Afternoon"	"Spanish"	12	8.6	46
122	"No"	5	"Morning"	"Spanish"	12	9.7	77
123	"No"	5	"Morning"	"Spanish"	12	7.3	6
124	"No"	5	"Morning"	"Spanish"	12	9.3	55
125	"Yes"	6	"Morning"	"Spanish"	0	3.8	31
126	"No"	5	"Morning"	"Spanish"	7	5.7	15
127	"No"	4	"Morning"	"Spanish"	12	6.7	33
128	"No"	4	"Afternoon"	"Spanish"	12	9	64
129	"No"	5	"Morning"	"Foreign"	12	6.5	60
130	"No"	4	"Morning"	"Spanish"	12	6	31
131	"No"	4	"Afternoon"	"Foreign"	12	7.7	96
132	"No"	4	"Morning"	"Spanish"	11	5.4	13
133	"No"	3	"Afternoon"	"Spanish"	12	6.5	80
134	"No"	4	"Morning"	"Spanish"	12	4.2	8
135	"No"	4	"Afternoon"	"Spanish"	12	6.5	23
136	"Yes"	3	"Afternoon"	"Spanish"	0	0.3	5
137	"No"	4	"Morning"	"Spanish"	0	1	15
138	"No"	5	"Afternoon"	"Spanish"	12	6.1	84
139	"Yes"	3	"Afternoon"	"Spanish"	1	3.5	5
140	"No"	4	"Morning"	"Spanish"	12	7	21
141	"No"	5	"Morning"	"Spanish"	12	7.1	45
142	"No"	5	"Morning"	"Spanish"	12	7.3	50
143	"No"	4	"Afternoon"	"Spanish"	11	6.8	57
144	"No"	5	"Morning"	"Spanish"	12	6.8	6
145	"No"	2	"Afternoon"	"Spanish"	8	5.1	45
146	"No"	4	"Afternoon"	"Spanish"	0	0	0
147	"No"	3	"Afternoon"	"Spanish"	11	2.8	12
148	"No"	3	"Afternoon"	"Spanish"	12	6.7	61
149	"No"	4	"Afternoon"	"Foreign"	12	7.2	69
150	"No"	5	"Afternoon"	"Spanish"	7	6.7	8
151	"No"	5	"Morning"	"Spanish"	5	4.4	22
152	"No"	5	"Morning"	"Spanish"	10	5	27
153	"No"	5	"Morning"	"Spanish"	12	6.8	9
154	"No"	3	"Morning"	"Spanish"	12	3.7	48
155	"No"	5	"Morning"	"Spanish"	11	6.6	59
156	"No"	5	"Morning"	"Spanish"	12	6.4	41
