Pais;Region;Continent;LifeExpectancy;Population;Surface;AgrLand;Forest;PIBpc;AgrGDP;IndustryGDP;AlcohConsump;BadTeeth;SBPMale;BMImen;BMIFemale;InternetUsers;Mobiles;DependRatio;ChildrenWomen;Births;CO2pc
Guatemala;LATIN AMERICA AND THE CARIBBEAN;AM;69,73;12717154;108890;42,57;36,32;4897;13,38;29,32;4,03;5,2;125,79;25,04;26,39;5,70;35,46;90,26;4,37;33,25;0,96
Guinea;SUB-SAHARAN AFRICA;AF;51,14;9041448;245860;57,47;27,36;946;24,16;38,91;0,76;;131,88;22,27;22,20;0,54;2,09;86,83;5,63;39,88;0,15
Guyana;LATIN AMERICA AND THE CARIBBEAN;AM;67,27;746235;214970;8,52;76,73;3232;34,60;19,97;9,5;1,3;127,95;23,59;26,19;;37,71;57,92;2,38;18,04;2,03
Haiti;LATIN AMERICA AND THE CARIBBEAN;AM;59,9;9347262;27750;60,60;3,81;1175;;;6,61;0,65;128,59;23,44;22,97;6,38;5,35;73,01;3,76;27,85;0,22
Honduras;LATIN AMERICA AND THE CARIBBEAN;AM;71,44;6879243;112490;28,15;41,54;3266;13,65;28,73;4,48;3,7;127,17;24,84;26,35;6,50;18,63;78,45;3,50;27,75;1,11
Hungary;CENTRAL AND EASTERN EUROPE;EU;72,99;10086936;93030;65,43;21,45;17014;4,18;30,01;16,27;3,3;136,16;26,79;25,79;38,97;92,40;45,31;1,30;9,86;5,74
Iceland;NORTH AMERICA AND WESTERN EUROPE;EU;81,43;296743;103000;22,75;0,46;35630;6,31;24,38;6,31;1,4;129,72;26,86;25,77;87,00;95,41;51,12;2,04;14,74;7,43
India;SOUTH AND WEST ASIA;AS;63,33;1140042863;3287260;60,49;22,77;2126;18,82;28,14;2,59;3,94;124,65;20,89;21,17;2,39;7,91;60,46;2,83;22,97;1,24
Indonesia;EAST ASIA AND THE PACIFIC;AS;67,11;227303175;1904570;27,18;48,85;3234;13,13;46,54;0,59;2,2;128,49;21,55;22,69;3,60;20,64;51,32;2,28;18,76;1,48
Iran;SOUTH AND WEST ASIA;AS;71,33;69732007;1745150;29,25;6,77;10692;10,19;44,71;1,02;1,15;127,39;25,11;26,68;8,10;12,20;45,84;1,83;18,94;6,58
Iraq;ARAB STATES;AS;68,43;27359461;438320;22,29;1,88;3200;;;0,4;1,7;126,94;26,54;28,15;0,89;5,55;82,58;5,00;31,59;3,56
Ireland;NORTH AMERICA AND WESTERN EUROPE;EU;79,4;4158042;70280;62,45;9,71;38058;1,58;34,51;14,41;1,1;135,53;27,42;26,39;41,59;102,65;45,84;2,03;15,65;10,39
Israel;NORTH AMERICA AND WESTERN EUROPE;EU;80,02;6604572;22070;23,75;7,88;23846;;;2,89;1,66;126,98;26,82;27,03;24,01;111,93;61,32;2,91;20,03;8,96
Italy;NORTH AMERICA AND WESTERN EUROPE;EU;81,18;58671206;301340;50,10;33,93;27750;2,19;26,72;10,68;1,1;131,27;26,26;24,79;35,04;122,00;51,15;1,31;9,26;8,03
Jamaica;LATIN AMERICA AND THE CARIBBEAN;AM;71,5;2681653;10990;43,12;31,30;7132;5,99;25,33;5;1,1;129,77;23,74;26,93;12,95;74,76;64,26;2,47;19,46;3,78
Japan;EAST ASIA AND THE PACIFIC;AS;82,27;126392944;377910;12,87;68,22;30290;1,53;30,45;8,03;1,7;130,72;23,35;21,90;66,20;75,51;50,85;1,30;8,2;9,80
Jordan;ARAB STATES;AS;72,61;5342002;88780;11,48;0,93;4294;3,08;28,86;0,71;3,3;124,95;27,17;29,17;12,77;57,98;68,53;3,41;26,04;3,94
Kazakhstan;CENTRAL ASIA;AS;65,16;15171805;2724900;76,95;1,24;8699;6,79;40,10;10,96;2,1;133,99;25,77;26,20;2,97;35,64;47,44;2,28;19,78;11,68
Kenya;SUB-SAHARAN AFRICA;AF;53,06;35614576;580370;47,44;6,19;1359;27,20;19,09;4,14;1,35;130,69;21,38;22,84;3,10;12,95;83,49;4,91;39,03;0,24
Korea, Rep.;EAST ASIA AND THE PACIFIC;AS;78,82;47044126;99650;19,42;63,46;21342;3,33;37,70;;3,1;125,30;23,78;23,15;71,83;79,65;39,60;1,22;9,49;9,84
Kuwait;ARAB STATES;AS;73,95;2264014;17820;8,42;0,34;44947;;;0,1;2,6;127,84;28,68;30,72;25,93;100,57;34,27;2,24;17,91;34,10
Kyrgyzstan;CENTRAL ASIA;AS;66,57;5042381;199950;56,02;4,53;1728;31,95;22,39;5,09;3,1;132,45;24,52;25,46;10,29;10,49;59,03;2,57;22,38;1,03
Laos;EAST ASIA AND THE PACIFIC;AS;64,51;5753341;236800;8,70;69,94;1811;36,42;24,08;6,73;2;125,43;20,80;21,72;0,85;11,43;78,06;3,31;27,61;0,25
Latvia;CENTRAL AND EASTERN EUROPE;EU;71,24;2305528;64550;27,88;47,40;13218;3,97;21,58;12,5;3,4;136,17;26,04;25,38;46,10;81,36;45,06;1,33;10,14;3,11
Lebanon;ARAB STATES;AS;71,5;4052420;10450;63,83;13,29;10212;6,25;21,34;2,23;3,4;128,34;26,90;27,46;10,14;24,52;53,07;1,94;15,84;4,33
Lesotho;SUB-SAHARAN AFRICA;AF;44,33;2065752;30360;76,65;0,26;1415;9,01;33,09;5,55;0,4;130,59;21,52;26,54;2,58;12,09;81,50;3,56;29,11;
Liberia;SUB-SAHARAN AFRICA;AF;51,98;3182539;111370;26,94;32,75;383;65,82;15,75;5,06;0,4;131,84;21,77;22,91;;5,03;87,03;5,56;38,56;0,23
Libya;ARAB STATES;AF;73,43;5769709;1759540;8,86;0,12;10804;2,34;75,47;0,11;1,14;134,53;26,27;28,85;3,92;34,66;51,81;2,87;23,42;9,03
Lithuania;CENTRAL AND EASTERN EUROPE;EU;71,7;3415748;65300;45,26;33,49;14085;4,82;32,86;15,03;3,6;136,57;26,49;25,92;36,24;127,51;47,07;1,32;9,47;4,10
Luxembourg;NORTH AMERICA AND WESTERN EUROPE;EU;79,56;457197;2590;49,81;33,59;70014;0,45;16,61;13,01;3;131,60;27,12;25,95;68,80;109,64;48,41;1,63;11,39;24,77
Macedonia, FYR;CENTRAL AND EASTERN EUROPE;EU;73,78;2038109;25710;48,29;35,63;7393;12,32;28,16;8,51;3,03;133,64;26,07;25,24;26,45;55,49;44,85;1,50;10,92;5,52
Madagascar;SUB-SAHARAN AFRICA;AF;64,13;17885967;587040;70,23;22,08;988;28,29;15,77;1,33;3,1;132,87;21,25;20,70;0,57;2,85;89,93;5,04;36,19;0,10
Malawi;SUB-SAHARAN AFRICA;AF;48,98;12822587;118480;52,72;36,16;691;32,63;17,02;1,74;0,7;134,33;21,74;22,56;0,38;3,28;99,28;6,01;40,46;0,07
Malaysia;EAST ASIA AND THE PACIFIC;AS;72,94;26100241;330800;23,95;63,58;11466;8,39;49,71;0,82;1,6;126,92;24,39;25,13;48,63;74,88;55,51;2,83;20,53;7,03
Mali;SUB-SAHARAN AFRICA;AF;49;13176642;1240190;33,06;10,30;1027;36,58;24,16;1,04;2,2;127,06;21,50;22,50;0,51;5,78;88,53;6,60;42,79;0,04
Mauritania;ARAB STATES;AF;57,28;3047249;1030700;38,48;0,26;1691;30,52;33,19;0,11;2;131,83;22,35;25,85;0,67;24,47;76,27;4,88;33,8;0,54
Mauritius;SUB-SAHARAN AFRICA;AF;72,5;1256742;2040;51,23;18,23;10155;6,04;27,58;3,72;4,9;133,73;24,81;25,85;15,34;52,83;45,35;1,80;14,11;2,71
