Pais;Region;Continent;LifeExpectancy;Population;Surface;AgrLand;Forest;PIBpc;AgrGDP;IndustryGDP;AlcohConsump;BadTeeth;SBPMale;BMImen;BMIFemale;InternetUsers;Mobiles;DependRatio;ChildrenWomen;Births;CO2pc
Senegal;SUB-SAHARAN AFRICA;AF;57,38;10871908;196720;45,84;45,05;1676;16,68;23,80;0,6;1,2;131,71;21,67;23,94;4,79;15,91;88,17;5,19;38,78;0,54
Sierra Leone;SUB-SAHARAN AFRICA;AF;44,28;5153435;71740;50,61;38,45;790;51,57;23,62;9,72;1,3;133,73;22,20;23,42;0,22;;80,68;5,40;40,44;0,24
Singapore;EAST ASIA AND THE PACIFIC;AS;80,03;4265999;690;;2,99;41479;0,05;31,60;1,55;1;127,90;23,81;23,07;61,00;102,78;39,02;1,26;8,19;11,79
Slovak Republic;CENTRAL AND EASTERN EUROPE;EU;74,2;5415496;49030;40,35;40,12;15881;3,65;36,47;13,33;4,3;135,46;26,62;26,17;55,48;84,28;39,88;1,22;10,18;7,23
Slovenia;CENTRAL AND EASTERN EUROPE;EU;77,6;2002084;20270;25,27;62,82;23004;2,71;34,11;15,19;1,8;136,40;27,16;26,50;46,85;87,94;42,30;1,30;9,63;7,93
Solomon Islands;EAST ASIA AND THE PACIFIC;OC;65,45;469805;28900;2,97;77,60;1712;34,46;8,10;1,66;2,7;125,37;26,82;28,34;0,84;1,28;76,97;4,50;30,79;0,38
Somalia;SUB-SAHARAN AFRICA;AF;49,89;8359859;637660;70,74;11,37;933;;;0,5;1;132,35;21,77;22,42;1,08;5,98;90,13;6,46;44,24;0,07
South Africa;SUB-SAHARAN AFRICA;AF;51,14;47792787;1219090;81,99;7,58;8477;2,67;31,17;9,46;1,05;132,53;25,85;28,97;7,58;71,95;55,59;2,68;22,11;8,54
Spain;NORTH AMERICA AND WESTERN EUROPE;EU;80,28;43395441;505370;58,43;35,87;27270;3,20;29,69;11,62;1,12;130,26;27,18;26,21;47,88;98,38;45,53;1,35;11,02;8,14
Sri Lanka;SOUTH AND WEST ASIA;AS;73,97;19842536;65610;40,03;29,91;3481;11,82;30,19;0,79;1,4;127,88;21,74;22,90;1,79;16,94;45,81;2,35;18,29;0,59
Sudan;ARAB STATES;AF;59,56;30551777;2505810;57,24;28,43;2249;31,98;28,34;2,56;1,4;132,40;22,05;22,81;1,29;4,76;79,03;4,87;31,62;0,39
Suriname;LATIN AMERICA AND THE CARIBBEAN;AM;68,79;499294;163820;0,46;94,72;7234;5,42;37,28;6,09;1,9;129,17;25,13;27,34;6,40;46,62;55,94;2,50;19,12;4,77
Swaziland;SUB-SAHARAN AFRICA;AF;45,9;1104909;17360;71,16;31,45;4384;8,79;44,68;5,7;0,9;133,39;22,82;28,10;4,01;19,66;82,07;3,78;30,01;0,92
Sweden;NORTH AMERICA AND WESTERN EUROPE;EU;80,75;9029345;450300;7,84;66,88;31995;1,24;28,11;10,1;1;132,27;26,13;25,06;84,83;100,82;52,80;1,79;11,72;5,71
Switzerland;NORTH AMERICA AND WESTERN EUROPE;EU;81,45;7415007;41280;38,10;30,87;35520;1,27;27,17;11,06;0,86;130,65;26,03;24,05;69,89;91,89;47,30;1,42;9,69;5,58
Syria;ARAB STATES;AS;74,95;18484122;185180;75,33;2,51;4059;19,49;36,21;1,43;2,3;128,03;26,68;28,59;5,65;15,96;66,71;3,23;28,23;3,48
Tajikistan;CENTRAL ASIA;AS;65,44;6453240;142550;33,38;2,92;1413;23,98;31,29;3,39;1,2;131,48;23,51;23,60;0,30;4,11;76,44;3,61;28,14;0,36
Tanzania;SUB-SAHARAN AFRICA;AF;53,4;38831024;947300;39,23;39,90;1018;31,76;22,72;6,75;0,3;130,15;22,20;22,80;4,30;7,63;90,84;5,62;41,65;0,13
Thailand;EAST ASIA AND THE PACIFIC;AS;73,22;66698483;513120;38,36;28,42;6869;10,27;43,96;7,08;1,6;124,30;22,78;24,18;15,03;46,68;42,94;1,65;14,58;4,13
Togo;SUB-SAHARAN AFRICA;AF;55,34;5408044;56790;63,34;7,10;888;43,51;23,90;1,99;0,3;132,08;21,68;22,40;4,00;8,02;80,68;4,56;33,06;0,25
