id;name;nationality;sex;height;weight;sport;gold;silver;bronze
525300567;Alexander Bury;BLR;male;1.84;94;tennis;0;0;0
750329482;Alexander Choupenitch;CZE;male;1.96;89;fencing;0;0;0
737791847;Alexander Edmondson;AUS;male;1.84;76;cycling;0;1;0
3104691;Alexander Fransson;SWE;male;1.8;75;football;0;0;0
100528515;Alexander Gehbauer;AUT;male;1.85;70;cycling;0;0;0
515896035;Alexander Hartmann;AUS;male;1.98;91;athletics;0;0;0
986385043;Alexander Hendrickx;BEL;male;1.85;82;hockey;0;0;0
711926626;Alexander Hill;AUS;male;1.93;91;rowing;0;1;0
45190859;Alexander Horst;AUT;male;1.86;88;volleyball;0;0;0
724710281;Alexander Huber;AUT;male;1.79;64;volleyball;0;0;0
604407494;Alexander John;GER;male;1.85;84;athletics;0;0;0
300967214;Alexander Karwoski;USA;male;1.94;90;rowing;0;0;0
41863727;Alexander Kosenkow;GER;male;1.78;74;athletics;0;0;0
5256036;Alexander Leksell;SWE;male;1.76;78;football;0;0;0
37893138;Alexander Lerionka Sampao;KEN;male;;67;athletics;0;0;0
911821683;Alexander Lesun;RUS;male;1.85;74;modern pentathlon;1;0;0
703140166;Alexander Lloyd;AUS;male;1.89;89;rowing;0;0;0
994257957;Alexander Massialas;USA;male;1.88;81;fencing;0;1;1
517168133;Alexander Milosevic;SWE;male;1.92;77;football;0;0;0
589365060;Alexander Molerio Quintana;CUB;male;1.69;75;shooting;0;0;0
536913332;Alexander Naddour;USA;male;1.71;70;gymnastics;0;0;1
110525640;Alexander Peya;AUT;male;1.82;80;tennis;0;0;0
658069337;Alexander Russo;BRA;male;1.73;61;athletics;0;0;0
648973939;Alexander Schmirl;AUT;male;1.76;95;shooting;0;0;0
961318209;Alexander Shatilov;ISR;male;1.83;77;gymnastics;0;0;0
909129710;Alexander Shibaev;RUS;male;1.92;80;table tennis;0;0;0
452039868;Alexander Sigurbjornsson;ESP;male;1.8;80;rowing;0;0;0
484197906;Alexander Sukhorukov;RUS;male;1.96;93;aquatics;0;0;0
120799596;Alexander Volkov;RUS;male;2.1;90;volleyball;0;0;0
745034260;Alexandr Spac;MDA;male;1.64;77;weightlifting;0;0;0
188141447;Alexandr Yemelyanov;KAZ;male;1.84;97;canoe;0;0;0
928138606;Alexandr Zaichikov;KAZ;male;1.8;105;weightlifting;0;0;1
878621949;Alexandra Burghardt;GER;female;1.81;70;athletics;0;0;0
566681185;Alexandra Danson;GBR;female;1.67;56;hockey;1;0;0
612116227;Alexandra Hagan;AUS;female;1.82;75;rowing;0;0;0
383231190;Alexandra Keresztesi;ARG;female;1.83;72;canoe;0;0;0
191014767;Alexandra Lacrabere;FRA;female;1.77;73;handball;0;1;0
486083635;Alexandra Longova;SVK;female;1.73;51;archery;0;0;0
30769207;Alexandra Martinez;BRA;female;1.77;68;handball;0;0;0
921114489;Alexandra Mirca;MDA;female;1.68;70;archery;0;0;0
338753895;Alexandra Nemich;KAZ;female;1.68;46;aquatics;0;0;0
599952871;Alexandra Oquendo;PUR;female;1.89;75;volleyball;0;0;0
125810149;Alexandra Popp;GER;female;1.74;65;football;1;0;0
891965491;Alexandra Privalova;BLR;female;1.78;66;table tennis;0;0;0
71010173;Alexandra Raisman;USA;female;1.58;52;gymnastics;1;2;0
256577556;Alexandra Razarenova;RUS;female;1.68;56;triathlon;0;0;0
692519892;Alexandra Tavernier;FRA;female;1.7;82;athletics;0;0;0
443690040;Alexandra Touretski;SUI;female;1.7;58;aquatics;0;0;0
475551107;Alexandra Wenk;GER;female;1.8;63;aquatics;0;0;0
872947130;Alexandra Wester;GER;female;1.8;64;athletics;0;0;0
753747706;Alexandre Ayache;FRA;male;1.8;80;equestrian;0;0;0
356907302;Alexandre Bouzaid;SEN;male;1.68;75;fencing;0;0;0
538814395;Alexandre Camarasa;FRA;male;1.93;100;aquatics;0;0;0
333303277;Alexandre Camargo;BRA;male;1.77;75;fencing;0;0;0
718560734;Alexandre Haldemann;SUI;male;1.86;81;aquatics;0;0;0
203028845;Alexandre Iddir;FRA;male;1.84;90;judo;0;0;0
391830541;Alexandre de Paeuw;BEL;male;1.78;75;hockey;0;0;0
350839117;Alexandres Gounas;GRE;male;1.79;73;aquatics;0;0;0
72024697;Alexandrina Cabral;ESP;female;1.75;62;handball;0;0;0
17092453;Alexandro Pozzer;BRA;male;1.92;107;handball;0;0;0
809372786;Alexandros Papamichail;GRE;male;1.78;63;athletics;0;0;0
992947913;Alexei Klimov;RUS;male;1.82;88;shooting;0;0;0
621322055;Alexei Sancov;MDA;male;1.88;85;aquatics;0;0;0
