id;name;nationality;sex;height;weight;sport;gold;silver;bronze
326016199;Adrien Dipanda;FRA;male;2.02;105;handball;0;1;0
664737236;Adrien Niyonshuti;RWA;male;1.65;68;cycling;0;0;0
447910544;Adrienne Martelli;USA;female;1.86;77;rowing;0;0;0
835610998;Adzo Rebecca Kpossi;TOG;female;1.58;53;aquatics;0;0;0
26797739;Ae-Ri Noort;NED;female;1.6;49;rowing;0;0;0
577601340;Afa Ismail;MDV;female;;;athletics;0;0;0
16830155;Afaf Elhodhod;EGY;female;1.63;75;shooting;0;0;0
508610852;Afef Ben Ismail;TUN;female;1.73;60;canoe;0;0;0
477738986;Africa Zamorano Sanz;ESP;female;1.7;58;aquatics;0;0;0
998446972;Afrodite Zegers;NED;female;1.61;58;sailing;0;0;0
42409524;Agata Forkasiewicz;POL;female;1.68;54;athletics;0;0;0
28097741;Agatha Bednarczuk;BRA;female;1.82;70;volleyball;0;1;0
23462736;Ageze Guadie;ISR;male;1.75;56;athletics;0;0;0
971796358;Aglaia Pezzato;ITA;female;1.75;60;aquatics;0;0;0
810258362;Agnes Osazuwa;NGR;female;1.62;65;athletics;0;0;0
107504792;Agnes Raharolahy;FRA;female;1.67;58;athletics;0;0;0
320335499;Agnese Pastare;LAT;female;1.79;68;athletics;0;0;0
220410298;Agnete Kirk Thinggaard;DEN;female;1.72;62;equestrian;0;0;0
726686017;Agnieszka Dygacz;POL;female;1.6;47;athletics;0;0;0
517578131;Agnieszka Jadwiga Wieszczek-Kordus;POL;female;1.75;69;wrestling;0;0;0
120505360;Agnieszka Jerzyk;POL;female;1.7;59;triathlon;0;0;0
665715516;Agnieszka Kobus;POL;female;1.77;68;rowing;0;0;1
935702937;Agnieszka Nagay;POL;female;1.69;61;shooting;0;0;0
220520929;Agnieszka Radwanska;POL;female;1.73;59;tennis;0;0;0
527420548;Agnieszka Skrzypulec;POL;female;1.66;53;sailing;0;0;0
983479171;Agnieszka Szwarnog;POL;female;1.65;51;athletics;0;0;0
638298176;Agustin Mazzilli;ARG;male;1.73;77;hockey;1;0;0
833236523;Agustin Vidal;ARG;male;1.94;100;handball;0;0;0
794585269;Agustina Albertarrio;ARG;female;1.65;55;hockey;0;0;0
441542780;Agustina Habif;ARG;female;1.65;55;hockey;0;0;0
213448220;Ahmad Abughaush;JOR;male;1.78;68;taekwondo;1;0;0
443237540;Ahmad Alafasi;IOA;male;;;shooting;0;0;0
942902378;Ahmad Amsyar Azman;MAS;male;1.62;62;aquatics;0;0;0
684631479;Ahmad Hazer;LIB;male;1.88;80;athletics;0;0;0
67793782;Ahmed Abdelaal;EGY;male;1.88;89;volleyball;0;0;0
935849614;Ahmed Abdelhay;EGY;male;1.97;87;volleyball;0;0;0
786273274;Ahmed Abelrahman;EGY;male;1.65;60;judo;0;0;0
672789779;Ahmed Afifi;EGY;male;1.94;92;volleyball;0;0;0
873200853;Ahmed Akram;EGY;male;1.88;80;aquatics;0;0;0
862822782;Ahmed Ali;SUD;male;1.73;75;athletics;0;0;0
9418987;Ahmed Attellesey;LBA;male;;;aquatics;0;0;0
180751684;Ahmed Bader Magour;QAT;male;1.9;90;athletics;0;0;0
364294388;Ahmed Darwish;EGY;male;1.72;80;shooting;0;0;0
23970897;Ahmed El Kotb;EGY;male;1.97;80;volleyball;0;0;0
837684987;Ahmed El-Nemr;EGY;male;1.83;84;archery;0;0;0
635571670;Ahmed Elahmar;EGY;male;1.81;79;handball;0;0;0
64299896;Ahmed Gebrel;PLE;male;;;aquatics;0;0;0
215275770;Ahmed Goumar;NIG;male;1.8;73;judo;0;0;0
663592491;Ahmed Ibrahim;IRQ;male;1.84;80;football;0;0;0
916701520;Ahmed Kamar;EGY;male;1.75;60;shooting;0;0;0
114527133;Ahmed Mathlouthi;TUN;male;1.9;90;aquatics;0;0;0
205324342;Ahmed Mohamed;EGY;male;1.7;73;shooting;0;0;0
162169475;Ahmed Mohamed;EGY;male;1.85;144;weightlifting;0;0;0
739968078;Ahmed Mohamed Ibrahim Saad;EGY;male;1.65;85;wrestling;0;0;0
575397765;Ahmed Ragab;EGY;male;1.74;81;sailing;0;0;0
101574216;Ahmed Saad;EGY;male;1.6;62;weightlifting;0;0;0
105465611;Ahmed Shaban;EGY;male;1.9;95;shooting;0;0;0
585852107;Ahmet Li;TUR;male;1.73;67;table tennis;0;0;0
696999235;Ahmet Orken;TUR;male;1.77;69;cycling;0;0;0
47988332;Ahreum Na;KOR;female;1.63;55;cycling;0;0;0
138385356;Ahymara Espinoza;VEN;female;1.8;99;athletics;0;0;0
730862558;Ai Fukuhara;JPN;female;1.56;48;table tennis;0;0;1
488478701;Ai Kondo Yoshida;JPN;female;1.61;58;sailing;0;0;0
975475720;Ai Ueda;JPN;female;1.55;44;triathlon;0;0;0
544308054;Ai Wen Yu;TPE;female;1.57;52;shooting;0;0;0
696719880;Aiaal Lazarev;KGZ;male;1.95;125;wrestling;0;0;0
634178292;Aichen Wang;CHN;male;1.85;75;sailing;0;0;0
537808926;Aida Fall;SEN;female;1.93;95;basketball;0;0;0
155951731;Aida Mohamed;HUN;female;1.62;58;fencing;0;0;0
531077009;Aida Roman;MEX;female;1.69;64;archery;0;0;0
750356217;Aida Shanaeva;RUS;female;1.73;63;fencing;0;0;0
248085477;Aidan Roach;AUS;male;1.87;88;aquatics;0;0;0
743883365;Aika Hakoyama;JPN;female;1.76;62;aquatics;0;0;1
110469224;Aikaterini Nikolaidou;GRE;female;1.8;70;rowing;0;0;0
823094336;Aikaterini-Maria Kontochristopoulou;GRE;female;1.68;58;fencing;0;0;0
574808106;Aiko Hayashi;JPN;female;1.66;56;aquatics;0;0;1
676958658;Aiko Sugihara;JPN;female;1.46;35;gymnastics;0;0;0
420613340;Aileen Reid;IRL;female;1.69;53;triathlon;0;0;0
172676108;Ailen Valente;ARG;female;1.67;58;gymnastics;0;0;0
971329341;Ailly Luciano;NED;female;1.71;69;handball;0;0;0
356290857;Ailun Guo;CHN;male;1.92;85;basketball;0;0;0
273034565;Aimee Fisher;NZL;female;1.83;99;canoe;0;0;0
266091485;Aimee Willmott;GBR;female;1.71;66;aquatics;0;0;0
912490592;Aina Cid I Centelles;ESP;female;1.7;60;rowing;0;0;0
674464910;Ainhoa Hernandez;ESP;female;1.8;88;handball;0;0;0
14183642;Ainhoa Murua;ESP;female;1.6;48;triathlon;0;0;0
871394696;Ainur Yesbergenova;KAZ;female;1.64;49;taekwondo;0;0;0
635098552;Airi Hatakeyama;JPN;female;1.71;46;gymnastics;0;0;0
965051843;Airine Palsyte;LTU;female;1.87;63;athletics;0;0;0
840071617;Aisen Chen;CHN;male;1.68;60;aquatics;2;0;0
704825548;Aisha Praught;JAM;female;1.62;50;athletics;0;0;0
