filename	islet	treat	grupo
GSM762810.CEL	UnculturedIslet	untreated	1
GSM762811.CEL	UnculturedIslets	untreated	1
GSM762812.CEL	UnculturedIslets	untreated	1
GSM762813.CEL	UnculturedIslets	untreated	1
GSM762814.CEL	expandedislet	untreated	2
GSM762815.CEL	expandedislet	RCtreatment	3
GSM762816.CEL	expandedislet	untreated	2
GSM762817.CEL	expandedislet	untreated	2
GSM762818.CEL	expandedislet	RCtreatment	3
GSM762819.CEL	expandedislet	untreated	2
GSM762820.CEL	expandedislet	RCtreatment	3
